Name_of_sign,YouTube_link,Same_in_SASL_as_ASL,Can_the_link_be_downloaded,Number_of_Hands_used,,`,`
Yellow,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,ONE HAND,,,
Your,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
Your,www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
Yours (plural),www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
Yours (plural),www.youtube.com/watch?v=K8c-np9zNT8,NOT THE SAME,YES,ONE HAND,,,
Love-it,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,ONE HAND,,,
Love-it,www.youtube.com/watch?v=K8c-np9zNT8,SAME,YES,ONE HAND,,,
money,www.youtube.com/watch?v=nFcSfNCaLLg,NOT THE SAME,YES,TWO HANDS,,,
money,www.youtube.com/watch?v=nFcSfNCaLLg,NOT THE SAME,YES,TWO HANDS,,,
SHIRT-[version-blouse],www.youtube.com/watch?v=i14EM0ZbtUY,NOT THE SAME,YES,TWO HANDS,,,
curly hair,www.youtube.com/watch?v=-HXdd7TuqxI,NOT THE SAME,YES,TWO HANDS,,,
BROWN,www.youtube.com/watch?v=gxAvUS0nckQ,NOT THE SAME,YES,ONE HAND,,,
I-,www.youtube.com/watch?v=QisLkDnvcpE,NOT THE SAME,Yes,TWO HANDS,,,
I Love You,www.youtube.com/watch?v=gh3CJlFFNF8,NOT THE SAME,YES,ONE HAND,,,
your,www.youtube.com/watch?v=rJ5WlLJbNI8,,NO,,,,
your,www.youtube.com/watch?v=rJ5WlLJbNI8,,NO,,,,
Meat,www.youtube.com/watch?v=7YQyJCSb660,SOMEWHAT THE SAME,YES,TWO HANDS,,,
SAME-[2h-index-fingers-single-movement],www.youtube.com/watch?v=OwtSP1QozuE,SAME,YES,TWO HANDS,,,
football,www.youtube.com/watch?v=JrqSTHL_oG4,NOT THE SAME,YES,TWO HANDS,,,
CAT,www.youtube.com/watch?v=KHO8y8bOrNQ,NOT THE SAME,YES,ONE HAND,,,
English,www.youtube.com/watch?v=JOnDSH4N-9E,NOT THE SAME,YES,TWO HANDS,,,
COLOR,www.youtube.com/watch?v=MslyAd8WAwU,NOT THE SAME,YES,ONE HAND,,,
future,www.youtube.com/watch?v=4y2Uah6ZOSs,SOMEWHAT THE SAME,YES,ONE HAND,,,
DEPRESSED-[depression/feeling-down-version],www.youtube.com/watch?v=pHDIa-ao9BQ,NOT THE SAME,YES,TWO HANDS,,,
sore throat,www.youtube.com/watch?v=jwyFSak29Jk,SOMEWHAT THE SAME,YES,ONE HAND,,,
sore throat,www.youtube.com/watch?v=jwyFSak29Jk,SOMEWHAT THE SAME,YES,ONE HAND,,,
ANIMALS,www.youtube.com/watch?v=qw9KjK2s_DM,NOT THE SAME,YES,TWO HANDS,,,
CHICKEN,www.youtube.com/watch?v=qw9KjK2s_DM,NOT THE SAME,YES,ONE HAND,,,
FROG,www.youtube.com/watch?v=qw9KjK2s_DM,NOT THE SAME,YES,ONE HAND,,,
GIRAFFE,www.youtube.com/watch?v=qw9KjK2s_DM,NOT THE SAME,YES,ONE HAND,,,
HIPPO,www.youtube.com/watch?v=qw9KjK2s_DM,SAME,YES,TWO HANDS,,,
LION,www.youtube.com/watch?v=qw9KjK2s_DM,SAME,YES,ONE HAND,,,
MOUSE,www.youtube.com/watch?v=qw9KjK2s_DM,NOT THE SAME,YES,ONE HAND,,,
PIG,www.youtube.com/watch?v=qw9KjK2s_DM,NOT THE SAME,YES,ONE HAND,,,
SHEEP,www.youtube.com/watch?v=qw9KjK2s_DM,SAME,YES,TWO HANDS,,,
SNAKE,www.youtube.com/watch?v=qw9KjK2s_DM,SAME,YES,ONE HAND,,,
TIGER,www.youtube.com/watch?v=qw9KjK2s_DM,NOT THE SAME,YES,TWO HANDS,,,
TURTLE,www.youtube.com/watch?v=qw9KjK2s_DM,SAME,YES,TWO HANDS,,,
HEARING-AID,www.youtube.com/watch?v=n7kdh5s5AjY,SAME,YES,ONE HAND,,,
mom,www.youtube.com/watch?v=hETKGwYtD4o,NOT THE SAME,YES,ONE HAND,,,
mom,www.youtube.com/watch?v=hETKGwYtD4o,NOT THE SAME,YES,ONE HAND,,,
tea,www.youtube.com/watch?v=cocaN8kNl-s,,NO,,,,
tea,www.youtube.com/watch?v=cocaN8kNl-s,,NO,,,,
BORED,www.youtube.com/watch?v=c2W6TVd_xh4,SOMEWHAT THE SAME,YES,ONE HAND,,,
BORED,www.youtube.com/watch?v=c2W6TVd_xh4,SOMEWHAT THE SAME,YES,ONE HAND,,,
CAN,www.youtube.com/watch?v=c2W6TVd_xh4,NOT THE SAME,YES,TWO HANDS,,,
CAN'T,www.youtube.com/watch?v=c2W6TVd_xh4,NOT THE SAME,YES,TWO HANDS,,,
CAN'T,www.youtube.com/watch?v=c2W6TVd_xh4,NOT THE SAME,YES,TWO HANDS,,,
EXCITED,www.youtube.com/watch?v=c2W6TVd_xh4,SAME,YES,TWO HANDS,,,
KNOW,www.youtube.com/watch?v=c2W6TVd_xh4,SAME,YES,ONE HAND,,,
LIKE,www.youtube.com/watch?v=c2W6TVd_xh4,NOT THE SAME,YES,ONE HAND,,,
MAD,www.youtube.com/watch?v=c2W6TVd_xh4,NOT THE SAME,YES,ONE HAND,,,
MAD,www.youtube.com/watch?v=c2W6TVd_xh4,NOT THE SAME,YES,ONE HAND,,,
SAD,www.youtube.com/watch?v=c2W6TVd_xh4,NOT THE SAME,YES,TWO HANDS,,,
SAD,www.youtube.com/watch?v=c2W6TVd_xh4,NOT THE SAME,YES,TWO HANDS,,,
SCARED,www.youtube.com/watch?v=c2W6TVd_xh4,SAME,YES,TWO HANDS,,,
SICK,www.youtube.com/watch?v=c2W6TVd_xh4,SAME,YES,TWO HANDS,,,
CHILD,www.youtube.com/watch?v=t7Ey0B4euCY,SAME,YES,ONE HAND,,,
DUCK,www.youtube.com/watch?v=E3ILIbZqcKY,SAME,YES,ONE HAND,,,
BEAR,www.youtube.com/watch?v=E3ILIbZqcKY,SAME,YES,TWO HANDS,,,
CAT,www.youtube.com/watch?v=E3ILIbZqcKY,NOT THE SAME,YES,ONE HAND,,,
ELEPHANT,www.youtube.com/watch?v=E3ILIbZqcKY,SOMEWHAT THE SAME,YES,ONE HAND,,,
FROG,www.youtube.com/watch?v=E3ILIbZqcKY,NOT THE SAME,YES,ONE HAND,,,
PIG,www.youtube.com/watch?v=E3ILIbZqcKY,NOT THE SAME,YES,ONE HAND,,,
SNAKE,www.youtube.com/watch?v=E3ILIbZqcKY,SAME,YES,ONE HAND,,,
TURTLE,www.youtube.com/watch?v=E3ILIbZqcKY,SAME,YES,TWO HANDS,,,
MOUSE,www.youtube.com/watch?v=E3ILIbZqcKY,NOT THE SAME,YES,ONE HAND,,,
DOLPHIN,www.youtube.com/watch?v=E3ILIbZqcKY,SOMEWHAT THE SAME,YES,TWO HANDS,,,
GIRAFFE,www.youtube.com/watch?v=E3ILIbZqcKY,SOMEWHAT THE SAME,YES,ONE HAND,,,
TIGER (1),www.youtube.com/watch?v=E3ILIbZqcKY,SOMEWHAT THE SAME,YES,ONE HAND,,,
TIGER (2),www.youtube.com/watch?v=E3ILIbZqcKY,NOT THE SAME,YES,TWO HANDS,,,
SHARK,www.youtube.com/watch?v=E3ILIbZqcKY,SOMEWHAT THE SAME,YES,TWO HANDS,,,
CRAB,www.youtube.com/watch?v=E3ILIbZqcKY,SOMEWHAT THE SAME,YES,TWO HANDS,,,
SQUIRREL,www.youtube.com/watch?v=E3ILIbZqcKY,NOT THE SAME,YES,TWO HANDS,,,
WORM,www.youtube.com/watch?v=E3ILIbZqcKY,SOMEWHAT THE SAME,YES,TWO HANDS,,,
BIRD,www.youtube.com/watch?v=E3ILIbZqcKY,SAME,YES,ONE HAND,,,
BUTTERFLY,www.youtube.com/watch?v=E3ILIbZqcKY,SAME,YES,TWO HANDS,,,
DOG,www.youtube.com/watch?v=E3ILIbZqcKY,SAME,YES,ONE HAND,,,
FISH,www.youtube.com/watch?v=E3ILIbZqcKY,SAME,YES,ONE HAND,,,
HORSE,www.youtube.com/watch?v=E3ILIbZqcKY,SAME,YES,TWO HANDS,,,
MONKEV,www.youtube.com/watch?v=E3ILIbZqcKY,SAME,YES,TWO HANDS,,,
WHALE,www.youtube.com/watch?v=E3ILIbZqcKY,NOT THE SAME,YES,TWO HANDS,,,
FOX,www.youtube.com/watch?v=E3ILIbZqcKY,NOT THE SAME,YES,ONE HAND,,,
DEER,www.youtube.com/watch?v=E3ILIbZqcKY,SOMEWHAT THE SAME,YES,TWO HANDS,,,
LION,www.youtube.com/watch?v=E3ILIbZqcKY,NOT THE SAME,YES,ONE HAND,,,
SPIDER,www.youtube.com/watch?v=E3ILIbZqcKY,SOMEWHAT THE SAME,YES,TWO HANDS,,,
READING,www.youtube.com/watch?v=E3ILIbZqcKY,SAME,YES,TWO HANDS,,,
motorcycle,www.youtube.com/watch?v=E3ILIbZqcKY,SAME,YES,TWO HANDS,,,
PAINTING,www.youtube.com/watch?v=E3ILIbZqcKY,SAME,YES,TWO HANDS,,,
FISHING,www.youtube.com/watch?v=E3ILIbZqcKY,SOMEWHAT THE SAME,YES,TWO HANDS,,,
BASEBALL,www.youtube.com/watch?v=E3ILIbZqcKY,SAME,YES,TWO HANDS,,,
SOCCER,www.youtube.com/watch?v=E3ILIbZqcKY,NOT THE SAME,YES,TWO HANDS,,,
CAMPING,www.youtube.com/watch?v=E3ILIbZqcKY,SAME,YES,TWO HANDS,,,
DANCE,www.youtube.com/watch?v=E3ILIbZqcKY,SAME,YES,TWO HANDS,,,
FOOTBALL (1),www.youtube.com/watch?v=E3ILIbZqcKY,NOT THE SAME,YES,TWO HANDS,,,
FOOTBALL (2),www.youtube.com/watch?v=E3ILIbZqcKY,NOT THE SAME,YES,TWO HANDS,,,
FOOTBALL (3),www.youtube.com/watch?v=E3ILIbZqcKY,NOT THE SAME,YES,ONE HAND,,,
SWIMMING,www.youtube.com/watch?v=E3ILIbZqcKY,SAME,YES,TWO HANDS,,,
JANITOR,www.youtube.com/watch?v=AONnUe9LfHE,SOMEWHAT THE SAME,YES,TWO HANDS,,,
EVERY YEAR,www.youtube.com/watch?v=Zm5oZQtu5rI,NOT THE SAME,YES,TWO HANDS,,,
HAVE-[possess-2-hand-version],www.youtube.com/watch?v=OZKNIcIFqvU,NOT THE SAME,YES,TWO HANDS,,,
meet,www.youtube.com/watch?v=neVSKkqLDa4,SAME,YES,TWO HANDS,,,
meet,www.youtube.com/watch?v=neVSKkqLDa4,SAME,YES,TWO HANDS,,,
LOSE-[lost/cannot-find],www.youtube.com/watch?v=PJTZ2WhwAjI,SAME,YES,TWO HANDS,,,
Born,www.youtube.com/watch?v=KCBm23SrUe4,NOT THE SAME,YES,TWO HANDS,,,
Live,www.youtube.com/watch?v=KCBm23SrUe4,NOT THE SAME,YES,TWO HANDS,,,
Grow up (to be raised),www.youtube.com/watch?v=KCBm23SrUe4,SAME,YES,ONE HAND,,,
Adult,www.youtube.com/watch?v=KCBm23SrUe4,SAME,YES,ONE HAND,,,
People,www.youtube.com/watch?v=KCBm23SrUe4,NOT THE SAME,YES,TWO HANDS,,,
Divorce,www.youtube.com/watch?v=KCBm23SrUe4,NOT THE SAME,YES,TWO HANDS,,,
Divorce,www.youtube.com/watch?v=KCBm23SrUe4,NOT THE SAME,YES,TWO HANDS,,,
Divorce,www.youtube.com/watch?v=KCBm23SrUe4,NOT THE SAME,YES,TWO HANDS,,,
Adopt,www.youtube.com/watch?v=KCBm23SrUe4,SAME,YES,TWO HANDS,,,
From,www.youtube.com/watch?v=KCBm23SrUe4,SAME,YES,TWO HANDS,,,
Age. old,www.youtube.com/watch?v=KCBm23SrUe4,NOT THE SAME,YES,ONE HAND,,,
refrigerator,www.youtube.com/watch?v=t-_PbGpQRho,SOMEWHAT THE SAME,YES,ONE HAND,,,
refrigerator,www.youtube.com/watch?v=t-_PbGpQRho,NOT THE SAME,YES,ONE HAND,,,
change,www.youtube.com/watch?v=xfhXjnU3WEM,NOT THE SAME,YES,TWO HANDS,,,
change,www.youtube.com/watch?v=xfhXjnU3WEM,SOMEWHAT THE SAME,YES,TWO HANDS,,,
MOUNTAIN,www.youtube.com/watch?v=KvR2WuN7sdo,NOT THE SAME,YES,TWO HANDS,,,
banana,www.youtube.com/watch?v=1vpl3E6dz5Y,SOMEWHAT THE SAME,YES,TWO HANDS,,,
SUNDAY,www.youtube.com/watch?v=T6ur5imNbrY,,NO,,,,
SUNDAY,www.youtube.com/watch?v=T6ur5imNbrY,,NO,,,,
SUNDAY,www.youtube.com/watch?v=T6ur5imNbrY,,NO,,,,
SUNDAY,www.youtube.com/watch?v=T6ur5imNbrY,,NO,,,,
MONDAY,www.youtube.com/watch?v=T6ur5imNbrY,,NO,,,,
TUESDAY,www.youtube.com/watch?v=T6ur5imNbrY,,NO,,,,
WEDNESDAY,www.youtube.com/watch?v=T6ur5imNbrY,,NO,,,,
THURSDAY,www.youtube.com/watch?v=T6ur5imNbrY,,NO,,,,
FRIDAY,www.youtube.com/watch?v=T6ur5imNbrY,,NO,,,,
SATU RDAY,www.youtube.com/watch?v=T6ur5imNbrY,,NO,,,,
WEEK,www.youtube.com/watch?v=T6ur5imNbrY,,NO,,,,
dorm,www.youtube.com/watch?v=WHHclFRRIg4,NOT THE SAME,YES,ONE HAND,,,
dorm,www.youtube.com/watch?v=WHHclFRRIg4,NOT THE SAME,YES,ONE HAND,,,
MOM,www.youtube.com/watch?v=ktnsWSvF4uw,NOT THE SAME,YES,ONE HAND,,,
Tiger,www.youtube.com/watch?v=44_2NutXsBc,NOT THE SAME,YES,TWO HANDS,,,
Friday,www.youtube.com/watch?v=GTXzVTCAyZQ,NOT THE SAME,YES,ONE HAND,,,
white,www.youtube.com/watch?v=uLjkLwFvFtw,NOT THE SAME,YES,ONE HAND,,,
HAT,www.youtube.com/watch?v=bul0cjvDEEE,SOMEWHAT THE SAME,YES,ONE HAND,,,
lawyer,www.youtube.com/watch?v=RLhEA9NOtsI,SOMEWHAT THE SAME,YES,TWO HANDS,,,
lawyer,www.youtube.com/watch?v=RLhEA9NOtsI,SOMEWHAT THE SAME,YES,TWO HANDS,,,
bathtub,www.youtube.com/watch?v=bF3FaZUuMKE,NOT THE SAME,YES,TWO HANDS,,,
FIGHT-[noun-form-double-movement],www.youtube.com/watch?v=JGXoDKup5Yg,NOT THE SAME,YES,TWO HANDS,,,
OFFICE,www.youtube.com/watch?v=7FP3OlNwk-0,NOT THE SAME,YES,TWO HANDS,,,
old,www.youtube.com/watch?v=i-n-z_IX5QI,NOT THE SAME,YES,ONE HAND,,,
old,www.youtube.com/watch?v=i-n-z_IX5QI,NOT THE SAME,YES,ONE HAND,,,
BROOM-SWEEP,www.youtube.com/watch?v=W7MGI2V8Ass,NOT THE SAME,YES,TWO HANDS,,,
africa (hungarian sign 2),www.youtube.com/watch?v=exVXuSjS8Rc,NOT THE SAME,YES,ONE HAND,,,
I understand /,www.youtube.com/watch?v=TFs0FDWoiSg,SAME,YES,ONE HAND,,,
YOUR-[plural],www.youtube.com/watch?v=YzuOEjefcIY,NOT THE SAME,YES,ONE HAND,,,
READY (version 2),www.youtube.com/watch?v=dZY1SDSZNR8,SOMEWHAT THE SAME,YES,TWO HANDS,,,
NOT,www.youtube.com/watch?v=3TTbvNIaIYs,NOT THE SAME,YES,ONE HAND,,,
LEAD-[grab-onto-version],www.youtube.com/watch?v=amS8WdpuoAM,SAME,YES,TWO HANDS,,,
ROCK,www.youtube.com/watch?v=t2Mef3BE08c,NOT THE SAME,YES,TWO HANDS,,,
therapy-[HELP-HELP],www.youtube.com/watch?v=VS3iTjU_UEM,NOT THE SAME,YES,TWO HANDS,,,
ME/I,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
YOU,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
SHE/HE,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
THEY/THEM,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
MINE/MY,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
YOUR,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
THEIR,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
HER/HIS,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
OUR,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
WHAT (2),www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
WHAT (2),www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
WHY,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
WHO,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
WHERE,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
WHERE,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
DON'T KNOW,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
OH I SEE,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
COOL,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
FROM,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
LIVE,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
LIVE,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
LIVE,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
LIVE,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
HERE,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
BYE!!!,www.youtube.com/watch?v=PpeviLqqBtk,,NO,,,,
saturday,www.youtube.com/watch?v=brjluKNwK9Q,NOT THE SAME,YES,ONE HAND,,,
HIT-[impact],www.youtube.com/watch?v=1R0_ICwvHUE,SAME,YES,TWO HANDS,,,
juice,www.youtube.com/watch?v=7QNTQce8jnk,SOMEWHAT THE SAME,YES,TWO HANDS,,,
juice,www.youtube.com/watch?v=7QNTQce8jnk,SOMEWHAT THE SAME,YES,TWO HANDS,,,
PEOPLE,www.youtube.com/watch?v=C6qO5SSj598,NOT THE SAME,YES,TWO HANDS,,,
juice,www.youtube.com/watch?v=nVLjL0yhAUA,SAME,YES,ONE HAND,,,
juice,www.youtube.com/watch?v=nVLjL0yhAUA,SAME,YES,ONE HAND,,,
FOR,www.youtube.com/watch?v=olI4-QXHxtg,SAME,YES,ONE HAND,,,
FINISH,www.youtube.com/watch?v=7xQE2N0z7gM,SAME,YES,TWO HANDS,,,
to eat,www.youtube.com/watch?v=DGFSZB6BLLc,SAME,YES,ONE HAND,,,
Hello,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Deaf,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Hard of Hearing,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Hearing,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Yes,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
No,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Nice to meet you.,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Again,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
I understand.,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Sorry,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Fine,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Thank you,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Ready,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Coffee,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Tea,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Water,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Small,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Small,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Small,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Small,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Medium,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Medium,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Medium,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Medium,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Large,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Large,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Large,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Large,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Hot,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Good morning!,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
How are you?,www.youtube.com/watch?v=Cgh1DXAQBuI,,NO,,,,
Day,www.youtube.com/watch?v=aE_nEWcmeEk,,NO,,,,
Day,www.youtube.com/watch?v=aE_nEWcmeEk,,NO,,,,
DICTIONARY,www.youtube.com/watch?v=tJ2SbVaNdCo,SAME,YES,TWO HANDS,,,
TAPE,www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,TWO HANDS,,,
SCISSORS,www.youtube.com/watch?v=tJ2SbVaNdCo,SAME,YES,ONE HAND,,,
PLANT,www.youtube.com/watch?v=tJ2SbVaNdCo,SOMEWHAT THE SAME,YES,TWO HANDS,,,
PICTURE,www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,TWO HANDS,,,
STAMP,www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,TWO HANDS,,,
GLUE,www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,TWO HANDS,,,
GLUE (2),www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,TWO HANDS,,,
NEWSPAPER,www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,TWO HANDS,,,
NEWSPAPER (2),www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,TWO HANDS,,,
NEWSPAPER (2),www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,TWO HANDS,,,
MAGAZINE,www.youtube.com/watch?v=tJ2SbVaNdCo,SAME,YES,TWO HANDS,,,
BROOM,www.youtube.com/watch?v=tJ2SbVaNdCo,SAME,YES,TWO HANDS,,,
ENVELOPE,www.youtube.com/watch?v=tJ2SbVaNdCo,SAME,YES,TWO HANDS,,,
ENVELOPE (2),www.youtube.com/watch?v=tJ2SbVaNdCo,SAME,YES,TWO HANDS,,,
ENVELOPE (2),www.youtube.com/watch?v=tJ2SbVaNdCo,SAME,YES,TWO HANDS,,,
SCREWDRIVER,www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,TWO HANDS,,,
CANDLE,www.youtube.com/watch?v=tJ2SbVaNdCo,SAME,YES,TWO HANDS,,,
MATCH,www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,TWO HANDS,,,
UMBRELLA,www.youtube.com/watch?v=tJ2SbVaNdCo,SOMEWHAT THE SAME,YES,TWO HANDS,,,
CLOCK,www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,TWO HANDS,,,
CAMERA,www.youtube.com/watch?v=tJ2SbVaNdCo,SAME,YES,TWO HANDS,,,
CAMERA,www.youtube.com/watch?v=tJ2SbVaNdCo,SAME,YES,TWO HANDS,,,
CALENDAR (2),www.youtube.com/watch?v=tJ2SbVaNdCo,SAME,YES,TWO HANDS,,,
CUP,www.youtube.com/watch?v=tJ2SbVaNdCo,SAME,YES,TWO HANDS,,,
TAPE,www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,TWO HANDS,,,
ALL,www.youtube.com/watch?v=tJ2SbVaNdCo,SAME,YES,ONE HAND,,,
MOST,www.youtube.com/watch?v=tJ2SbVaNdCo,SAME,YES,TWO HANDS,,,
SEVERAL,www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,ONE HAND,,,
SEVERAL,www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,ONE HAND,,,
FEW,www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,ONE HAND,,,
SOME,www.youtube.com/watch?v=tJ2SbVaNdCo,SAME,YES,TWO HANDS,,,
NONE,www.youtube.com/watch?v=tJ2SbVaNdCo,SAME,YES,TWO HANDS,,,
GONE,www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,TWO HANDS,,,
GONE,www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,TWO HANDS,,,
LOOK-AT,www.youtube.com/watch?v=tJ2SbVaNdCo,SAME,YES,ONE HAND,,,
DISGUSTED,www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,ONE HAND,,,
BE-LOST,www.youtube.com/watch?v=tJ2SbVaNdCo,SAME,YES,TWO HANDS,,,
LOOK-FOR,www.youtube.com/watch?v=tJ2SbVaNdCo,SAME,YES,ONE HAND,,,
FIND,www.youtube.com/watch?v=tJ2SbVaNdCo,SOMEWHAT THE SAME,YES,ONE HAND,,,
GARAGE,www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,TWO HANDS,,,
FENCE,www.youtube.com/watch?v=tJ2SbVaNdCo,SOMEWHAT THE SAME,YES,TWO HANDS,,,
STAIRS,www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,ONE HAND,,,
BASEMENT,www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,TWO HANDS,,,
BEDROOM,www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,TWO HANDS,,,
KITCHEN,www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,TWO HANDS,,,
KITCHEN (2),www.youtube.com/watch?v=tJ2SbVaNdCo,NOT THE SAME,YES,ONE HAND,,,
CLOSET,www.youtube.com/watch?v=tJ2SbVaNdCo,SAME,YES,TWO HANDS,,,
medicine,www.youtube.com/watch?v=WWOR0teCW8o,NOT THE SAME,YES,TWO HANDS,,,
new,www.youtube.com/watch?v=6cuCNgfTv5U,NOT THE SAME,YES,TWO HANDS,,,
new,www.youtube.com/watch?v=6cuCNgfTv5U,NOT THE SAME,YES,TWO HANDS,,,
refrigerator,www.youtube.com/watch?v=T_-wXYf958k,NOT THE SAME,YES,ONE HAND,,,
MEASURE,www.youtube.com/watch?v=U52-EYiNjew,SOMEWHAT THE SAME,YES,TWO HANDS,,,
FLOWER,www.youtube.com/watch?v=O59DcNgjER0,NOT THE SAME,YES,ONE HAND,,,
window,www.youtube.com/watch?v=Wo94xJf1YnA,NOT THE SAME,YES,TWO HANDS,,,
BOOTS-[boot],www.youtube.com/watch?v=JRy5YdEaYDw,SAME,YES,TWO HANDS,,,
Basketball,www.youtube.com/watch?v=BAV15UzOJ90,NOT THE SAME,YES,TWO HANDS,,,
stuck up,www.youtube.com/watch?v=nFirhKjMNKA,NOT THE SAME,YES,ONE HAND,,,
cry,www.youtube.com/watch?v=zGwcfBwOLfo,SAME,YES,TWO HANDS,,,
cry,www.youtube.com/watch?v=zGwcfBwOLfo,SAME,YES,TWO HANDS,,,
science,www.youtube.com/watch?v=rBZlr8EEVHs,SAME,YES,TWO HANDS,,,
science,www.youtube.com/watch?v=rBZlr8EEVHs,SAME,YES,TWO HANDS,,,
sheep,www.youtube.com/watch?v=K2AZZ6Pqm4E,SOMEWHAT THE SAME,YES,TWO HANDS,,,
